side_radius_mm,lagrange,newton,spline,qr_polynomial
2.825000000000000000e+01,-1.554016029907203875e-02,-1.554016029907202834e-02,-1.500242977179817340e-02,6.456625529417614473e-03
2.830000000000000071e+01,-1.525343773092416484e-02,-1.525343773092416311e-02,-1.478858757854757851e-02,7.159143213266716543e-03
2.835000000000000142e+01,-1.494671300643306625e-02,-1.494671300643307665e-02,-1.455392382405410953e-02,7.870921352436610618e-03
2.839999999999999858e+01,-1.461998537225379924e-02,-1.461998537225379924e-02,-1.429823228082451221e-02,8.591845082801086164e-03
2.845000000000000284e+01,-1.427325752630903728e-02,-1.427325752630903555e-02,-1.402130672136548024e-02,9.321799540233044468e-03
2.850000000000000000e+01,-1.390653561778937460e-02,-1.390653561778938674e-02,-1.372294091818380621e-02,1.006066986061160407e-02
2.855000000000000071e+01,-1.351982924715296012e-02,-1.351982924715294798e-02,-1.340292864378618207e-02,1.080834117981588349e-02
2.860000000000000142e+01,-1.311315146612573521e-02,-1.311315146612573868e-02,-1.306106367067935529e-02,1.156469863371700768e-02
2.864999999999999858e+01,-1.268651877770142836e-02,-1.268651877770142489e-02,-1.269713977137008898e-02,1.232962735819143063e-02
2.870000000000000284e+01,-1.223995113614132456e-02,-1.223995113614133323e-02,-1.231095071836502998e-02,1.310301248911649452e-02
2.875000000000000000e+01,-1.177347194697469200e-02,-1.177347194697470067e-02,-1.190229028417103332e-02,1.388473916237131789e-02
2.880000000000000071e+01,-1.128710806699828595e-02,-1.128710806699829983e-02,-1.147095224129474587e-02,1.467469251382613749e-02
2.885000000000000142e+01,-1.078088980427671997e-02,-1.078088980427673038e-02,-1.101673036224292204e-02,1.547275767935918367e-02
2.889999999999999858e+01,-1.025485091814234626e-02,-1.025485091814234972e-02,-1.053941841952234226e-02,1.627881979485046315e-02
2.895000000000000284e+01,-9.709028619195095994e-03,-9.709028619195092524e-03,-1.003881018563963085e-02,1.709276399617110087e-02
2.900000000000000000e+01,-9.143463569302876653e-03,-9.143463569302873184e-03,-9.514699433101670573e-03,1.791447541919755082e-02
2.905000000000000071e+01,-8.558199881601075837e-03,-8.558199881601072367e-03,-8.966879934415080550e-03,1.874383919980893154e-02
2.910000000000000142e+01,-7.953285120492958535e-03,-7.953285120492953331e-03,-8.395145462086629068e-03,1.958074047387903249e-02
